ID,HORA,MLREDUCTORES,TRASHCANA_ID
ff8080817188fd34017188fe08b80000,2019-08-03 07:00:00.000000,37.6,ff808081716c39f201716c43535d0000
ff808081718951e101718953839a0000,2019-08-03 11:00:00.000000,33.1,ff808081716c39f201716c43535d0000
ff8080817189f531017189f7550f0000,2019-08-03 17:00:00.000000,40.5,ff808081716c39f201716c43535d0000
ff8080817189f531017189f77f470001,2019-08-03 19:00:00.000000,48,ff808081716c39f201716c43535d0000
ff8080817189f531017189f7e8cf0002,2019-08-03 21:00:00.000000,25.3,ff808081716c39f201716c43535d0000
ff8080817189fba801718a01175c0000,2019-08-03 23:00:00.000000,41.4,ff808081716c39f201716c43535d0000
ff8080817189fba801718a017d4d0001,2019-08-04 01:00:00.000000,36.5,ff808081716c39f201716c43535d0000
ff8080817189fba801718a01bf310002,2019-08-04 03:00:00.000000,45.8,ff808081716c39f201716c43535d0000
ff8080817189fba801718a01e5d20003,2019-08-04 05:00:00.000000,47.7,ff808081716c39f201716c43535d0000
