id,bx,eq
01,0,1
02,5,2
03,10,3
04,15,4
05,20,5
06,25,6
07,30,7
08,35,8
09,40,9
10,45,10
11,50,11
12,55,12
13,60,13
14,65,14
15,70,15
16,75,16
17,80,17
18,85,18
19,90,19
