PARO_ID,AREA_ID,DESCRIPCION,FECHAFIN,FECHAINICIO
001,07,CAIDA DE PLANTA ELECTRICA,2019-08-03 09:54:00.000000,2019-08-03 07:41:00.000000
001,03,TACO MOLINO NO. 1,2019-08-03 13:51:00.000000,2019-08-03 13:35:00.000000
001,03,TACO MOLINO NO. 1 SINFONIA CONTROL DE NIVEL DE CHUTE DE MOLINO,2019-08-03 14:59:00.000000,2019-08-03 13:54:00.000000
001,02,DISPARO MOLINO NO. 1 SOBRE CARGA,2019-08-03 17:11:00.000000,2019-08-03 17:02:00.000000
