ID,DESCRIPCION
01,CAMPO
02,MOLINO
03,INSTRUMENTACION
04,CALDERA
05,ELABORACION
06,MANTENIMIENTO
07,ELECTRICO
08,OTROS
09,PROGRAMADOS
