id,descripcion,campo
138,"Generación de Vapor Ton","GenVapTon"
139,"CALDERA","CAL"
140,"INTER-417","Int147"
141,"INTER-421","Int421"
142,"INTER-506","Int506"
143,"BOILER CONTROL","BoiCon"
144,"Soda","Sod"
145,"OR DM PLANT","OrDmPla"
146,"INTER-413","Int413"
147,"INTER-753","Int753"
148,"Hipoclorito de Sodio","HipSod"
149,"Filtro de Cartuchos 5 mm","FilCar5MM"
150,"Filtro de Cartuchos 30 mm","FilCar30MM"
151,"CLARIFICADOR","CLA"
152,"Inter Quipac","IntQui"
153,"Floculante C","FloC"
154,"Cal","Cal"
155,"REGENERACION DE RESINAS","REGRES"
156,"Carbonato de Calcio","CarCal"
157,"Soda Cáustica","SodCau"
158,"LIMPIEZA Y REGENERACION DM PLANTA","LIMREGDMPLA"
159,"INTER-875","Int875"
160,"INTER-886","Int886"
161,"INTER-846","Int846"
162,"TORRE ENFRIAMIENTO TURBO","TORENFTUR"
163,"INTER-746","Int746"
164,"INTER-822","Int822"
165,"EVAPORADORES","EVA"
166,"CLARIFICADOR DE JUGO","CLAJUG"
167,"Floculante","Flo"
168,"Azufre","Azu"
169,"CLARIFICACIÓN DE MELADURA","CLAMEL"
170,"PROFLOC DI","ProDi"
171,"Ácido Fosfórico","AciFos"
172,"Proquat SC 970","ProSc970"
173,"TACHOS","TAC"
174,"Alcohol","Alc"
175,"Semilla Fondant","SemFon"
176,"Propeg 606","Pro606"
177,"MOLINOS","MOL"
178,"Proquat BC 50","ProBC50"
179,"Peocide BC 800","PeoBC800"
180,"JUGO DILUIDO","JUGDIL"
181,"Profloc DI","ProDI"
182,"Profosf 550","Pro550"
183,"CONSUMO DE AGUA CALIENTE ELABORACION","CONAGUCALELA"
184,"Tachos","Tac"
185,"Filtro de Cachaza","FilCac"
186,"Fundido","Fun"
187,"Centrífuga Bach 1","CenBac1"
188,"Centrífuga Bach 2","CenBac2"
189,"Centrífuga Continua 1 de B","CenCon1B"
190,"Centrífuga Continua 2 de B","CenCon2B"
191,"Centrífuga Continua 3 de C","CenCon3C"
192,"Centrífuga Continua 4 de C","CenCon4C"
